frame_name	left	top	right	bottom
normal_01	227	30	250	65
normal_02	201	30	225	65
run_01		228	66	249	102
run_02		210	66	227	102
run_03		190	66	209	102
run_04		168	66	189	102
run_05		150	66	167	102
run_06		129	66	149	102
jump_01		117	44	134	65
jump_02		96	44	116	65
jump_03		78	44	95	65
jump_04		57	44	77	65
lay_down_01	135	48	168	65
run_shot_up_01	107	66	128	102
run_shot_up_02	89	66	106	102
run_shot_up_03	68	66	88	102
run_shot_down_01	45	66	67	102
run_shot_down_02	23	66	44	102
run_shot_down_03	0	66	22	102
shot_up_01	185	19	200	65
shot_up_02	169	19	184	65
run_shot_01	70	189	96	224
run_shot_02	43	189	67	224
run_shot_03	15	189	22	224
swim_begin	140	115	157	131
swimming	104	115	121	131
swimming_01	104	115	121	132
diving		122	123	139	131
diving_01	122	123	139	132
swimming_shot	34	113	60	131
swimming_shot_01	34	113	60	132
swimming_shotup		83	113	103	131
swimming_shotup_01	83	113	103	132
swimming_shotup_stand	64	103	82	131
swimming_shotup_stand_01	64	103	82	132
dead_01		233	107	249	131
dead_02		209	112	232	131
dead_03		192	107	208	131
dead_04		158	120	191	131
